Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
PPO,0,0,0,-1,1
PPO,1,10,0,9,1000
PPO,2,13,0,12,2000
PPO,3,14,0,13,3000
PPO,4,3,0,2,4000
PPO,5,9,0,8,5000
PPO,6,3,4,1.2,6000
PPO,7,13,0,12,7000
PPO,8,11,0,10,8000
PPO,9,3,0,2,9000
PPO,10,15,0,14,10000
PPO,11,14,0,13,11000
PPO,12,14,0,13,12000
PPO,13,11,0,10,13000
PPO,14,13,0,12,14000
PPO,15,3,2,1.6,15000
PPO,16,4,0,3,16000
PPO,17,3,2,1.6,17000
PPO,18,3,0,2,18000
PPO,19,15,0,14,19000
PPO,20,3,3,1.4,20000
PPO,21,4,0,3,21000
PPO,22,13,0,12,22000
PPO,23,12,0,11,23000
PPO,24,4,0,3,24000
PPO,25,14,0,13,25000
PPO,26,3,2,1.6,26000
PPO,27,14,0,13,27000
PPO,28,10,0,9,28000
PPO,29,14,0,13,29000
PPO,30,14,0,13,30000
PPO,31,9,0,8,31000
PPO,32,15,0,14,32000
PPO,33,14,0,13,33000
PPO,34,13,0,12,34000
PPO,35,14,0,13,35000
PPO,36,3,0,2,36000
PPO,37,15,4,13.2,37000
PPO,38,13,0,12,38000
PPO,39,6,3,4.4,39000
PPO,40,14,0,13,40000
PPO,41,3,2,1.6,41000
PPO,42,3,0,2,42000
PPO,43,5,0,4,43000
PPO,44,14,0,13,44000
PPO,45,6,0,5,45000
PPO,46,3,0,2,46000
PPO,47,3,2,1.6,47000
PPO,48,4,0,3,48000
PPO,49,12,0,11,49000
PPO,50,11,0,10,50000
PPO,51,3,0,2,51000
PPO,52,15,0,14,52000
PPO,53,14,0,13,53000
PPO,54,12,0,11,54000
PPO,55,9,0,8,55000
PPO,56,13,5,11,56000
PPO,57,12,0,11,57000
PPO,58,6,2,4.6,58000
PPO,59,13,2,11.6,59000
PPO,60,5,0,4,60000
PPO,61,3,4,1.2,61000
PPO,62,3,0,2,62000
PPO,63,13,0,12,63000
PPO,64,14,2,12.6,64000
PPO,65,5,0,4,65000
PPO,66,3,2,1.6,66000
PPO,67,3,0,2,67000
PPO,68,4,0,3,68000
PPO,69,14,2,12.6,69000
PPO,70,12,0,11,70000
PPO,71,6,0,5,71000
PPO,72,10,0,9,72000
PPO,73,7,6,4.8,73000
PPO,74,15,2,13.6,74000
PPO,75,11,0,10,75000
PPO,76,14,2,12.6,76000
PPO,77,15,0,14,77000
PPO,78,3,2,1.6,78000
PPO,79,11,2,9.6,79000
PPO,80,4,0,3,80000
