Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
NEAT,1,0,0,0,23
NEAT,1,3,0,3,1024
NEAT,2,12,12,9.6,2024
NEAT,3,12,11,9.8,3025
NEAT,4,7,8,5.4,4026
NEAT,5,2,0,2,5026
NEAT,6,2,0,2,6027
NEAT,7,12,9,10.2,7028
NEAT,8,7,5,6,8028
NEAT,9,7,6,5.8,9029
NEAT,10,7,5,6,10029
NEAT,11,12,10,10,11030
NEAT,12,2,0,2,12030
NEAT,13,2,0,2,13030
NEAT,14,8,9,6.2,14031
NEAT,15,11,11,8.8,15031
NEAT,16,11,9,9.2,16031
NEAT,17,11,8,9.4,17032
NEAT,18,4,3,3.4,18032
NEAT,19,12,12,9.6,19032
NEAT,20,11,12,8.6,20033
NEAT,21,11,7,9.6,21033
NEAT,22,12,6,10.8,22033
NEAT,23,4,3,3.4,23033
NEAT,24,10,9,8.2,24034
NEAT,25,4,3,3.4,25035
NEAT,26,2,0,2,26035
NEAT,27,4,4,3.2,27035
NEAT,28,11,5,10,28036
NEAT,29,12,12,9.6,29036
NEAT,30,12,11,9.8,30037
NEAT,31,11,10,9,31038
NEAT,32,5,4,4.2,32038
NEAT,33,2,0,2,33038
NEAT,34,11,11,8.8,34038
NEAT,35,4,0,4,35039
NEAT,36,8,6,6.8,36039
NEAT,37,12,13,9.4,37039
NEAT,38,4,3,3.4,38040
NEAT,39,9,11,6.8,39040
NEAT,40,4,0,4,40040
NEAT,41,10,9,8.2,41040
NEAT,42,2,0,2,42041
NEAT,43,11,9,9.2,43041
NEAT,44,3,0,3,44042
NEAT,45,4,3,3.4,45043
NEAT,46,10,9,8.2,46043
NEAT,47,8,3,7.4,47044
NEAT,48,5,0,5,48044
NEAT,49,6,6,4.8,49044
NEAT,50,4,5,3,50045
NEAT,51,4,2,3.6,51046
NEAT,52,11,10,9,52046
NEAT,53,7,5,6,53047
NEAT,54,6,6,4.8,54047
NEAT,55,6,2,5.6,55047
NEAT,56,2,0,2,56048
NEAT,57,13,11,10.8,57048
NEAT,58,12,8,10.4,58049
NEAT,59,4,3,3.4,59049
NEAT,60,11,10,9,60049
NEAT,61,7,3,6.4,61049
NEAT,62,11,2,10.6,62049
NEAT,63,9,9,7.2,63050
NEAT,64,4,0,4,64050
NEAT,65,12,7,10.6,65050
NEAT,66,7,7,5.6,66051
NEAT,67,12,10,10,67052
NEAT,68,2,0,2,68052
NEAT,69,11,9,9.2,69053
NEAT,70,2,0,2,70053
NEAT,71,11,11,8.8,71053
NEAT,72,8,7,6.6,72055
NEAT,73,7,0,7,73055
NEAT,74,12,7,10.6,74056
NEAT,75,5,4,4.2,75056
NEAT,76,8,7,6.6,76057
NEAT,77,3,0,3,77058
NEAT,78,11,7,9.6,78059
NEAT,79,2,0,2,79059
NEAT,80,12,9,10.2,80060
NEAT,81,12,9,10.2,81060
NEAT,82,5,6,3.8,82060
NEAT,83,6,7,4.6,83060
NEAT,84,12,6,10.8,84060
NEAT,85,13,15,10,85061
NEAT,86,8,6,6.8,86061
NEAT,87,9,8,7.4,87061
NEAT,88,12,4,11.2,88062
NEAT,89,4,3,3.4,89062
NEAT,90,3,0,3,90063
NEAT,91,12,8,10.4,91063
NEAT,92,11,7,9.6,92064
NEAT,93,12,11,9.8,93064
NEAT,94,4,2,3.6,94064
NEAT,95,7,4,6.2,95065
NEAT,96,7,5,6,96065
NEAT,97,12,10,10,97065
NEAT,98,7,6,5.8,98066
NEAT,99,12,10,10,99066
NEAT,100,13,12,10.6,100067
NEAT,101,12,9,10.2,101067
NEAT,102,5,7,3.6,102067
NEAT,103,2,1,1.8,103068
NEAT,104,7,7,5.6,104069
NEAT,105,7,8,5.4,105069
NEAT,106,4,4,3.2,106070
NEAT,107,3,0,3,107071
NEAT,108,4,3,3.4,108071
NEAT,109,3,0,3,109072
NEAT,110,4,0,4,110072
NEAT,111,7,5,6,111073
NEAT,112,11,14,8.2,112074
NEAT,113,12,9,10.2,113074
NEAT,114,11,8,9.4,114074
NEAT,115,5,4,4.2,115075
NEAT,116,6,4,5.2,116076
NEAT,117,11,11,8.8,117076
NEAT,118,5,4,4.2,118077
NEAT,119,9,7,7.6,119078
NEAT,120,3,0,3,120078
NEAT,121,5,12,2.6,121078
NEAT,122,12,13,9.4,122079
NEAT,123,11,11,8.8,123079
NEAT,124,4,3,3.4,124079
NEAT,125,8,6,6.8,125079
NEAT,126,2,0,2,126080
NEAT,127,2,0,2,127080
NEAT,128,12,11,9.8,128080
NEAT,129,2,0,2,129080
NEAT,130,12,12,9.6,130081
NEAT,131,12,10,10,131081
NEAT,132,11,11,8.8,132081
NEAT,133,10,6,8.8,133082
NEAT,134,10,11,7.8,134082
NEAT,135,10,10,8,135083
NEAT,136,3,1,2.8,136083
NEAT,137,2,1,1.8,137083
NEAT,138,7,6,5.8,138084
NEAT,139,12,7,10.6,139084
NEAT,140,3,1,2.8,140085
NEAT,141,12,12,9.6,141086
NEAT,142,2,1,1.8,142088
NEAT,143,3,1,2.8,143089
NEAT,144,11,8,9.4,144090
NEAT,145,11,12,8.6,145092
NEAT,146,2,1,1.8,146092
NEAT,147,4,1,3.8,147094
NEAT,148,6,1,5.8,148096
NEAT,149,12,10,10,149097
NEAT,150,7,4,6.2,150098
NEAT,151,2,0,2,151099
NEAT,152,7,6,5.8,152101
NEAT,153,12,10,10,153101
NEAT,154,5,5,4,154102
NEAT,155,3,3,2.4,155103
NEAT,156,2,0,2,156105
NEAT,157,3,0,3,157107
NEAT,158,7,5,6,158108
NEAT,159,11,4,10.2,159109
NEAT,160,11,8,9.4,160110
NEAT,161,12,6,10.8,161112
NEAT,162,6,6,4.8,162113
NEAT,163,5,0,5,163113
NEAT,164,3,0,3,164115
NEAT,165,6,2,5.6,165115
NEAT,166,2,0,2,166116
NEAT,167,3,0,3,167117
NEAT,168,2,0,2,168118
NEAT,169,4,0,4,169118
NEAT,170,10,12,7.6,170119
NEAT,171,11,10,9,171120
NEAT,172,10,8,8.4,172121
NEAT,173,3,0,3,173122
NEAT,174,5,6,3.8,174124
NEAT,175,7,6,5.8,175125
NEAT,176,10,10,8,176126
NEAT,177,10,12,7.6,177126
NEAT,178,12,7,10.6,178127
NEAT,179,11,10,9,179129
NEAT,180,13,10,11,180130
NEAT,181,8,6,6.8,181130
NEAT,182,13,6,11.8,182131
NEAT,183,13,10,11,183131
NEAT,184,14,12,11.6,184132
NEAT,185,12,13,9.4,185132
NEAT,186,12,6,10.8,186133
NEAT,187,12,6,10.8,187133
NEAT,188,5,7,3.6,188134
NEAT,189,8,9,6.2,189136
NEAT,190,6,7,4.6,190137
NEAT,191,12,12,9.6,191137
NEAT,192,7,4,6.2,192138
NEAT,193,9,10,7,193139
NEAT,194,9,7,7.6,194140
NEAT,195,11,9,9.2,195140
NEAT,196,11,7,9.6,196142
NEAT,197,13,2,12.6,197144
NEAT,198,10,12,7.6,198144
NEAT,199,13,8,11.4,199144
NEAT,200,13,9,11.2,200145
NEAT,201,14,9,12.2,201145
NEAT,202,14,4,13.2,202146
NEAT,203,12,4,11.2,203146
NEAT,204,12,13,9.4,204146
NEAT,205,13,18,9.4,205147
NEAT,206,12,11,9.8,206147
NEAT,207,13,14,10.2,207148
NEAT,208,4,2,3.6,208149
NEAT,209,12,10,10,209149
NEAT,210,10,9,8.2,210149
NEAT,211,12,4,11.2,211150
NEAT,212,12,4,11.2,212150
NEAT,213,10,14,7.2,213151
NEAT,214,13,10,11,214152
NEAT,215,14,8,12.4,215152
NEAT,216,14,9,12.2,216153
NEAT,217,12,4,11.2,217154
NEAT,218,11,10,9,218154
NEAT,219,6,4,5.2,219155
NEAT,220,13,3,12.4,220155
NEAT,221,13,10,11,221156
NEAT,222,5,6,3.8,222156
NEAT,223,5,5,4,223157
NEAT,224,3,0,3,224157
NEAT,225,10,9,8.2,225157
NEAT,226,13,7,11.6,226158
NEAT,227,12,13,9.4,227159
NEAT,228,13,14,10.2,228159
NEAT,229,8,7,6.6,229160
NEAT,230,13,4,12.2,230162
NEAT,231,14,12,11.6,231163
NEAT,232,6,6,4.8,232164
