Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
NEAT,1,0,0,0,2125
NEAT,1,16,8,14.4,3134
NEAT,2,15,11,12.8,4135
NEAT,3,15,6,13.8,5135
NEAT,4,16,13,13.4,6139
NEAT,5,15,14,12.2,7142
NEAT,6,13,24,8.2,8147
NEAT,7,15,10,13,9149
NEAT,8,15,14,12.2,10150
NEAT,9,16,4,15.2,11153
NEAT,10,16,24,11.2,12154
NEAT,11,15,5,14,13155
NEAT,12,15,10,13,14156
NEAT,13,15,5,14,15160
NEAT,14,14,4,13.2,16164
NEAT,15,16,10,14,17164
NEAT,16,15,11,12.8,18166
NEAT,17,14,9,12.2,19168
NEAT,18,14,4,13.2,20170
NEAT,19,14,8,12.4,21175
NEAT,20,15,9,13.2,22179
NEAT,21,15,10,13,23181
NEAT,22,16,6,14.8,24182
NEAT,23,15,20,11,25183
NEAT,24,16,14,13.2,26184
NEAT,25,15,14,12.2,27188
NEAT,26,14,4,13.2,28189
NEAT,27,15,4,14.2,29191
NEAT,28,14,14,11.2,30192
NEAT,29,16,10,14,31193
NEAT,30,15,4,14.2,32195
NEAT,31,16,6,14.8,33197
NEAT,32,16,20,12,34199
NEAT,33,14,19,10.2,35204
NEAT,34,15,15,12,36206
NEAT,35,15,4,14.2,37207
NEAT,36,16,8,14.4,38211
NEAT,37,16,4,15.2,39216
NEAT,38,15,6,13.8,40216
NEAT,39,14,2,13.6,41217
NEAT,40,15,0,15,42217
NEAT,41,14,12,11.6,43219
NEAT,42,15,29,9.2,44223
NEAT,43,16,4,15.2,45226
NEAT,44,16,12,13.6,46228
NEAT,45,15,16,11.8,47228
NEAT,46,15,11,12.8,48232
NEAT,47,14,6,12.8,49233
NEAT,48,15,6,13.8,50237
NEAT,49,15,8,13.4,51243
NEAT,50,16,7,14.6,52246
NEAT,51,13,4,12.2,53250
NEAT,52,16,2,15.6,54252
NEAT,53,16,5,15,55256
NEAT,54,15,3,14.4,56260
NEAT,55,14,4,13.2,57262
NEAT,56,15,17,11.6,58265
NEAT,57,15,11,12.8,59267
NEAT,58,15,17,11.6,60271
NEAT,59,15,13,12.4,61275
NEAT,60,15,7,13.6,62279
NEAT,61,16,15,13,63280
NEAT,62,15,8,13.4,64283
NEAT,63,15,8,13.4,65286
NEAT,64,15,5,14,66288
NEAT,65,16,14,13.2,67291
NEAT,66,15,4,14.2,68295
NEAT,67,16,20,12,69296
NEAT,68,14,19,10.2,70301
NEAT,69,15,14,12.2,71301
NEAT,70,16,13,13.4,72303
NEAT,71,15,13,12.4,73305
NEAT,72,15,10,13,74307
NEAT,73,15,9,13.2,75312
NEAT,74,16,19,12.2,76318
NEAT,75,14,9,12.2,77320
NEAT,76,15,11,12.8,78326
NEAT,77,15,13,12.4,79326
NEAT,78,14,11,11.8,80328
NEAT,79,16,20,12,81328
NEAT,80,16,10,14,82332
NEAT,81,15,12,12.6,83336
NEAT,82,15,2,14.6,84340
NEAT,83,16,14,13.2,85343
NEAT,84,17,10,15,86348
NEAT,85,14,5,13,87350
NEAT,86,16,10,14,88355
NEAT,87,15,4,14.2,89357
NEAT,88,15,11,12.8,90359
NEAT,89,16,14,13.2,91361
NEAT,90,16,9,14.2,92367
NEAT,91,16,4,15.2,93369
NEAT,92,15,6,13.8,94370
NEAT,93,16,14,13.2,95370
NEAT,94,15,13,12.4,96372
NEAT,95,15,8,13.4,97376
NEAT,96,15,38,7.4,98381
NEAT,97,15,6,13.8,99384
NEAT,98,15,6,13.8,100390
NEAT,99,16,20,12,101394
NEAT,100,16,10,14,102395
NEAT,101,15,6,13.8,103398
NEAT,102,14,13,11.4,104399
NEAT,103,15,8,13.4,105403
NEAT,104,15,23,10.4,106408
NEAT,105,15,9,13.2,107410
NEAT,106,14,11,11.8,108410
NEAT,107,15,11,12.8,109411
NEAT,108,15,0,15,110411
NEAT,109,16,18,12.4,111413
NEAT,110,14,13,11.4,112415
NEAT,111,15,17,11.6,113421
NEAT,112,15,6,13.8,114425
NEAT,113,15,9,13.2,115428
NEAT,114,16,12,13.6,116429
NEAT,115,15,9,13.2,117431
NEAT,116,17,6,15.8,118436
NEAT,117,16,6,14.8,119438
NEAT,118,14,4,13.2,120441
NEAT,119,15,3,14.4,121443
NEAT,120,16,6,14.8,122445
NEAT,121,14,4,13.2,123446
NEAT,122,15,6,13.8,124447
NEAT,123,15,5,14,125450
NEAT,124,15,19,11.2,126456
NEAT,125,15,2,14.6,127457
NEAT,126,14,8,12.4,128460
NEAT,127,15,8,13.4,129462
NEAT,128,16,8,14.4,130463
NEAT,129,16,12,13.6,131467
NEAT,130,14,24,9.2,132467
NEAT,131,13,13,10.4,133473
NEAT,132,16,4,15.2,134474
NEAT,133,15,4,14.2,135480
NEAT,134,16,2,15.6,136485
NEAT,135,16,10,14,137489
NEAT,136,15,9,13.2,138490
NEAT,137,13,7,11.6,139492
NEAT,138,16,4,15.2,140494
NEAT,139,15,5,14,141495
NEAT,140,15,7,13.6,142499
NEAT,141,15,0,15,143501
NEAT,142,15,18,11.4,144504
NEAT,143,15,2,14.6,145505
NEAT,144,14,0,14,146507
NEAT,145,15,3,14.4,147508
NEAT,146,14,8,12.4,148508
NEAT,147,16,9,14.2,149516
NEAT,148,16,0,16,150516
NEAT,149,15,2,14.6,151520
NEAT,150,16,9,14.2,152524
NEAT,151,14,6,12.8,153527
NEAT,152,14,4,13.2,154532
NEAT,153,15,0,15,155532
NEAT,154,15,0,15,156536
NEAT,155,15,2,14.6,157541
NEAT,156,16,1,15.8,158545
NEAT,157,15,6,13.8,159553
NEAT,158,15,17,11.6,160567
NEAT,159,15,2,14.6,161573
NEAT,160,15,10,13,162576
NEAT,161,15,0,15,163579
NEAT,162,15,0,15,164583
NEAT,163,16,3,15.4,165584
NEAT,164,14,1,13.8,166587
NEAT,165,16,0,16,167590
NEAT,166,14,6,12.8,168592
NEAT,167,15,0,15,169594
NEAT,168,16,5,15,170598
NEAT,169,15,0,15,171602
NEAT,170,16,2,15.6,172604
NEAT,171,15,5,14,173604
NEAT,172,15,0,15,174605
NEAT,173,16,2,15.6,175608
NEAT,174,15,6,13.8,176612
NEAT,175,15,0,15,177615
NEAT,176,15,5,14,178625
NEAT,177,16,1,15.8,179634
NEAT,178,14,0,14,180644
NEAT,179,14,0,14,181647
NEAT,180,13,7,11.6,182648
NEAT,181,16,4,15.2,183650
NEAT,182,15,1,14.8,184650
NEAT,183,16,4,15.2,185658
NEAT,184,14,0,14,186667
NEAT,185,14,0,14,187677
NEAT,186,14,1,13.8,188691
NEAT,187,15,0,15,189693
NEAT,188,15,1,14.8,190696
NEAT,189,14,0,14,191696
NEAT,190,13,6,11.8,192699
NEAT,191,15,0,15,193701
NEAT,192,13,4,12.2,194702
NEAT,193,15,2,14.6,195703
NEAT,194,13,4,12.2,196707
NEAT,195,15,2,14.6,197707
NEAT,196,14,0,14,198708
NEAT,197,14,0,14,199712
NEAT,198,14,0,14,200712
NEAT,199,16,0,16,201717
NEAT,200,13,7,11.6,202720
NEAT,201,15,2,14.6,203722
NEAT,202,15,0,15,204726
NEAT,203,15,0,15,205728
NEAT,204,15,4,14.2,206731
NEAT,205,15,3,14.4,207731
NEAT,206,15,2,14.6,208735
NEAT,207,15,0,15,209739
NEAT,208,16,0,16,210739
NEAT,209,14,0,14,211741
NEAT,210,15,0,15,212742
NEAT,211,14,0,14,213744
NEAT,212,16,6,14.8,214749
NEAT,213,14,1,13.8,215749
NEAT,214,15,2,14.6,216749
NEAT,215,14,1,13.8,217750
NEAT,216,15,8,13.4,218750
NEAT,217,15,5,14,219751
