Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
NEAT,1,0,0,0,21
NEAT,1,3,0,3,1025
NEAT,2,12,11,9.8,2025
NEAT,3,12,11,9.8,3030
NEAT,4,7,8,5.4,4032
NEAT,5,2,0,2,5040
NEAT,6,8,13,5.4,6043
NEAT,7,12,12,9.6,7049
NEAT,8,7,2,6.6,8052
NEAT,9,7,6,5.8,9058
NEAT,10,7,5,6,10063
NEAT,11,12,10,10,11077
NEAT,12,2,0,2,12083
NEAT,13,2,0,2,13086
NEAT,14,8,8,6.4,14090
NEAT,15,11,11,8.8,15093
NEAT,16,12,10,10,16100
NEAT,17,11,9,9.2,17100
NEAT,18,7,8,5.4,18105
NEAT,19,12,13,9.4,19109
NEAT,20,11,12,8.6,20113
NEAT,21,11,8,9.4,21120
NEAT,22,12,6,10.8,22126
NEAT,23,7,9,5.2,23133
NEAT,24,10,8,8.4,24137
NEAT,25,5,4,4.2,25142
NEAT,26,2,0,2,26142
NEAT,27,4,3,3.4,27149
NEAT,28,12,6,10.8,28152
NEAT,29,12,12,9.6,29154
NEAT,30,12,11,9.8,30159
NEAT,31,11,10,9,31169
NEAT,32,5,4,4.2,32172
NEAT,33,2,0,2,33186
NEAT,34,11,11,8.8,34189
NEAT,35,4,1,3.8,35212
NEAT,36,8,7,6.6,36219
NEAT,37,12,14,9.2,37222
NEAT,38,3,3,2.4,38225
NEAT,39,6,5,5,39228
NEAT,40,4,0,4,40234
NEAT,41,5,4,4.2,41243
NEAT,42,2,0,2,42251
NEAT,43,11,9,9.2,43258
NEAT,44,3,0,3,44263
NEAT,45,4,3,3.4,45265
NEAT,46,11,10,9,46271
NEAT,47,8,4,7.2,47272
NEAT,48,5,0,5,48275
NEAT,49,6,6,4.8,49277
NEAT,50,2,0,2,50283
NEAT,51,5,3,4.4,51289
NEAT,52,11,11,8.8,52290
NEAT,53,7,5,6,53296
NEAT,54,6,6,4.8,54297
NEAT,55,6,2,5.6,55302
NEAT,56,2,0,2,56303
NEAT,57,13,12,10.6,57315
NEAT,58,12,8,10.4,58316
NEAT,59,4,3,3.4,59322
NEAT,60,10,9,8.2,60330
NEAT,61,7,4,6.2,61334
NEAT,62,11,2,10.6,62343
NEAT,63,9,9,7.2,63346
NEAT,64,4,0,4,64349
NEAT,65,12,6,10.8,65350
NEAT,66,7,6,5.8,66358
NEAT,67,12,10,10,67368
NEAT,68,2,1,1.8,68371
NEAT,69,11,8,9.4,69380
NEAT,70,2,0,2,70387
NEAT,71,12,11,9.8,71392
NEAT,72,8,8,6.4,72399
NEAT,73,7,0,7,73399
NEAT,74,12,11,9.8,74403
NEAT,75,3,0,3,75410
NEAT,76,6,5,5,76410
NEAT,77,6,8,4.4,77412
NEAT,78,11,8,9.4,78420
NEAT,79,2,0,2,79422
NEAT,80,12,11,9.8,80431
NEAT,81,9,10,7,81439
NEAT,82,12,12,9.6,82447
NEAT,83,4,3,3.4,83449
NEAT,84,11,11,8.8,84455
NEAT,85,6,9,4.2,85463
NEAT,86,5,4,4.2,86468
NEAT,87,7,8,5.4,87476
NEAT,88,12,10,10,88483
NEAT,89,4,3,3.4,89488
NEAT,90,3,0,3,90490
NEAT,91,12,10,10,91507
NEAT,92,11,11,8.8,92508
NEAT,93,11,10,9,93513
NEAT,94,4,4,3.2,94520
NEAT,95,7,7,5.6,95527
NEAT,96,7,5,6,96537
NEAT,97,12,11,9.8,97538
NEAT,98,4,4,3.2,98542
NEAT,99,11,10,9,99545
NEAT,100,12,12,9.6,100549
NEAT,101,3,0,3,101553
NEAT,102,2,0,2,102557
NEAT,103,2,0,2,103559
NEAT,104,5,0,5,104563
NEAT,105,7,8,5.4,105569
NEAT,106,2,0,2,106572
NEAT,107,3,0,3,107579
NEAT,108,4,2,3.6,108580
NEAT,109,3,0,3,109582
NEAT,110,4,0,4,110587
NEAT,111,7,4,6.2,111596
NEAT,112,10,11,7.8,112604
