Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
NEAT,1,0,0,0,154
NEAT,1,16,5,15,1155
NEAT,2,15,4,14.2,2158
NEAT,3,14,3,13.4,3167
NEAT,4,16,8,14.4,4172
NEAT,5,15,1,14.8,5177
NEAT,6,14,3,13.4,6182
NEAT,7,14,6,12.8,7187
NEAT,8,14,6,12.8,8192
NEAT,9,16,0,16,9193
NEAT,10,14,3,13.4,10193
NEAT,11,15,1,14.8,11196
NEAT,12,15,3,14.4,12201
NEAT,13,14,1,13.8,13208
NEAT,14,14,0,14,14210
NEAT,15,16,2,15.6,15216
NEAT,16,15,0,15,16222
NEAT,17,13,0,13,17225
NEAT,18,13,1,12.8,18231
NEAT,19,16,5,15,19238
NEAT,20,15,0,15,20245
NEAT,21,16,6,14.8,21247
NEAT,22,16,0,16,22251
NEAT,23,14,9,12.2,23251
NEAT,24,16,0,16,24254
NEAT,25,15,0,15,25258
NEAT,26,16,1,15.8,26262
NEAT,27,15,0,15,27268
NEAT,28,15,0,15,28274
NEAT,29,16,1,15.8,29278
NEAT,30,16,1,15.8,30286
NEAT,31,16,2,15.6,31314
NEAT,32,16,4,15.2,32317
NEAT,33,13,7,11.6,33317
NEAT,34,13,1,12.8,34320
NEAT,35,14,1,13.8,35326
NEAT,36,15,0,15,36332
NEAT,37,14,2,13.6,37333
NEAT,38,14,0,14,38337
NEAT,39,15,1,14.8,39343
NEAT,40,14,1,13.8,40348
NEAT,41,14,2,13.6,41351
NEAT,42,15,1,14.8,42353
NEAT,43,15,3,14.4,43353
NEAT,44,15,1,14.8,44354
NEAT,45,15,0,15,45354
NEAT,46,13,17,9.6,46358
NEAT,47,14,1,13.8,47369
NEAT,48,15,0,15,48372
NEAT,49,15,0,15,49376
NEAT,50,16,1,15.8,50381
NEAT,51,14,2,13.6,51387
NEAT,52,15,1,14.8,52389
NEAT,53,16,1,15.8,53393
NEAT,54,14,10,12,54400
NEAT,55,15,3,14.4,55410
NEAT,56,15,2,14.6,56411
NEAT,57,14,2,13.6,57415
NEAT,58,15,0,15,58416
NEAT,59,15,2,14.6,59421
NEAT,60,14,1,13.8,60425
NEAT,61,14,1,13.8,61426
NEAT,62,14,0,14,62428
NEAT,63,15,0,15,63432
NEAT,64,14,2,13.6,64438
NEAT,65,16,3,15.4,65441
NEAT,66,14,1,13.8,66444
NEAT,67,15,0,15,67445
NEAT,68,15,1,14.8,68445
NEAT,69,14,1,13.8,69451
NEAT,70,15,2,14.6,70454
