Method,Episode,Pieces,WallHits,Reward,FixedUpdateCount
NEAT,1,0,0,0,25
NEAT,1,3,0,3,1030
NEAT,2,12,10,10,2031
NEAT,3,12,11,9.8,3033
NEAT,4,7,8,5.4,4036
NEAT,5,2,0,2,5038
NEAT,6,2,0,2,6039
NEAT,7,12,9,10.2,7041
NEAT,8,7,4,6.2,8041
NEAT,9,7,6,5.8,9043
NEAT,10,7,6,5.8,10046
NEAT,11,12,10,10,11049
NEAT,12,12,14,9.2,12052
NEAT,13,5,10,3,13053
NEAT,14,10,13,7.4,14057
NEAT,15,11,12,8.6,15059
NEAT,16,11,9,9.2,16062
NEAT,17,11,9,9.2,17063
NEAT,18,4,3,3.4,18064
NEAT,19,11,12,8.6,19068
NEAT,20,11,12,8.6,20070
NEAT,21,11,8,9.4,21071
NEAT,22,12,7,10.6,22072
NEAT,23,7,7,5.6,23074
NEAT,24,10,9,8.2,24077
NEAT,25,11,6,9.8,25078
NEAT,26,13,11,10.8,26079
NEAT,27,10,12,7.6,27079
NEAT,28,12,7,10.6,28080
NEAT,29,12,6,10.8,29083
NEAT,30,13,1,12.8,30084
NEAT,31,14,8,12.4,31087
NEAT,32,13,3,12.4,32090
NEAT,33,13,1,12.8,33091
NEAT,34,12,0,12,34094
NEAT,35,14,9,12.2,35096
NEAT,36,14,6,12.8,36096
NEAT,37,13,0,13,37097
NEAT,38,15,4,14.2,38097
NEAT,39,14,5,13,39099
NEAT,40,13,2,12.6,40101
NEAT,41,13,4,12.2,41104
NEAT,42,2,1,1.8,42108
NEAT,43,12,2,11.6,43111
NEAT,44,13,2,12.6,44114
NEAT,45,14,6,12.8,45114
NEAT,46,13,2,12.6,46117
NEAT,47,12,0,12,47118
NEAT,48,14,5,13,48121
NEAT,49,14,8,12.4,49122
NEAT,50,14,1,13.8,50124
NEAT,51,13,6,11.8,51131
NEAT,52,13,2,12.6,52133
NEAT,53,14,2,13.6,53135
NEAT,54,15,5,14,54139
NEAT,55,13,0,13,55140
NEAT,56,13,5,12,56142
NEAT,57,14,2,13.6,57144
NEAT,58,13,0,13,58144
NEAT,59,14,5,13,59146
NEAT,60,13,4,12.2,60152
NEAT,61,14,13,11.4,61152
NEAT,62,12,0,12,62160
NEAT,63,13,2,12.6,63162
NEAT,64,14,4,13.2,64166
NEAT,65,14,8,12.4,65171
NEAT,66,14,4,13.2,66178
NEAT,67,13,2,12.6,67183
NEAT,68,3,2,2.6,68183
NEAT,69,13,0,13,69189
NEAT,70,13,1,12.8,70196
NEAT,71,12,0,12,71205
NEAT,72,14,5,13,72214
NEAT,73,14,3,13.4,73222
NEAT,74,12,0,12,74229
NEAT,75,12,0,12,75236
NEAT,76,14,3,13.4,76239
NEAT,77,12,1,11.8,77246
NEAT,78,13,3,12.4,78255
NEAT,79,14,4,13.2,79256
NEAT,80,13,0,13,80310
NEAT,81,13,6,11.8,81314
NEAT,82,14,1,13.8,82318
NEAT,83,13,6,11.8,83320
NEAT,84,13,1,12.8,84332
NEAT,85,14,0,14,85335
NEAT,86,15,9,13.2,86342
NEAT,87,14,1,13.8,87343
NEAT,88,12,0,12,88346
NEAT,89,14,3,13.4,89355
NEAT,90,13,0,13,90364
NEAT,91,13,1,12.8,91370
NEAT,92,13,0,13,92379
NEAT,93,12,0,12,93381
